Publishing Month,Total per Month,Percentage of videos published each Month
January,1268,19.977942334961398
December,1165,18.355128407121473
February,995,15.676697652434221
November,972,15.314321726800062
March,688,10.839766818969592
May,539,8.492201039861353
April,536,8.444934614778637
June,147,2.316054829053096
October,17,0.2678430754687254
September,10,0.1575547502757208
August,6,0.09453285016543249
July,4,0.06302190011028833
