video_id,duration,duration_seconds
_CJN_ryETIY,PT5M40S,340.0
P4YJwy_T9pM,PT13M52S,832.0
YqH4eWR7jDQ,PT1M21S,81.0
r96KpNTcog4,PT6M29S,389.0
B4gXsobd_ao,PT4M30S,270.0
x8eLIJAM58M,PT2M1S,121.0
6V_aZsATDsM,PT10M18S,618.0
qg0GdM60syI,PT16S,16.0
8j_BYfVEyhA,PT30M51S,1851.0
9ymjcSvEyhk,PT4M10S,250.0
oB3SAI2oCqk,PT1M4S,64.0
HNa_UWX51_s,PT4M49S,289.0
08nkwgZIE4I,PT3M48S,228.0
YHDbsyyjld0,PT5M14S,314.0
uyl6WtHEYOQ,PT2M14S,134.0
_w58R1OGQFA,PT4M28S,268.0
BEweWXa5Twk,PT13M10S,790.0
egXr0PU-kCY,PT18M52S,1132.0
d_j512i2k6c,PT7M53S,473.0
4d07RXYLsJE,PT24S,24.0
DOIw62TXYkg,PT2M5S,125.0
0lbJHqAGpbA,PT1M28S,88.0
JuP1Z8xpRb8,PT3M47S,227.0
CR9zYgr84QY,PT8M37S,517.0
1640fZpYBSY,PT1M23S,83.0
M2-IpsWQUWs,PT2M33S,153.0
7m630xvAJtA,PT3M50S,230.0
510KQ_LXGww,PT18M15S,1095.0
CO9dIyNM_9Q,PT1M39S,99.0
mwpHSMv1pI4,PT3M40S,220.0
Mfiim71QdYQ,PT4M57S,297.0
UFPSIa1cLRQ,PT3M14S,194.0
o78x918zbFk,PT15M48S,948.0
iNf6VErGDLI,PT7M55S,475.0
6ixU_vdE0Es,PT6M30S,390.0
agKDPntMv-E,PT7M,420.0
Xl38SuxyrgM,PT9M24S,564.0
u7pV4vxD1bs,PT5M5S,305.0
PoNWU2cox9w,PT4M15S,255.0
6hTzM1BPdU8,PT7M13S,433.0
MCW5HUkrr-o,PT11M12S,672.0
YvfYK0EEhK4,PT2M18S,138.0
cxMvzK2OQTw,PT2M43S,163.0
bAkEd8r7Nnw,PT10M28S,628.0
ItYOdWRo0JY,PT10M55S,655.0
5530I_pYjbo,PT5M51S,351.0
dUMH6DVYskc,PT42S,42.0
gjXrm2Q-te4,PT1M16S,76.0
9SK1I0V6U5c,PT5M58S,358.0
VsYmwBOYfW8,PT4M27S,267.0
CtBca6H6Teg,PT5M4S,304.0
pcWKpGzhgq4,PT2M41S,161.0
L3br0klRqF4,PT6H54M25S,24865.0
9kF9xY74h-E,PT6M54S,414.0
p2EY93WfBQk,PT15M47S,947.0
xL_qpDkF5A8,PT1M15S,75.0
eQVhAN7-IAw,PT3M53S,233.0
Y9nDagqKL7Q,PT17S,17.0
DbJ2s_g1oDc,PT10M51S,651.0
KJ12FVmumeA,PT6M2S,362.0
qDAxDcjgn-8,PT9M28S,568.0
815lSYphlbw,PT8M50S,530.0
E_86MEdNsAI,PT8M42S,522.0
Cr9oGxr0Qa0,PT6M45S,405.0
g0K5QoEj7FQ,PT48S,48.0
l4bAoNAx2uo,PT6M32S,392.0
MltuW2kcREI,PT13M8S,788.0
jGiqc3HSxEg,PT7M23S,443.0
Z3OZyb2iWqQ,PT5M23S,323.0
Hq89wYzOjfs,PT54M56S,3296.0
vZzIS17HexE,PT4M8S,248.0
zxUwbflE1SY,PT2M46S,166.0
7oRdswHqaf8,PT5M52S,352.0
qC0I5PEhkJo,PT2M57S,177.0
SGVbdo2CkgI,PT5M18S,318.0
NfLVVJOuY5M,PT3M34S,214.0
F388-6yDDpc,PT8M56S,536.0
KhdecX0qjNA,PT3M42S,222.0
kWIzjMWmuYk,PT6M6S,366.0
symdi5KSJts,PT2M47S,167.0
5hEJsoDP2q4,PT3M46S,226.0
lBHPVE3AI6Y,PT3M53S,233.0
kIUHDwn51y8,PT2M18S,138.0
Lz7dya576HY,PT5M52S,352.0
kqmhCaF5_44,PT3M40S,220.0
eAyxMv4IBH8,PT2M17S,137.0
EJu_wPGFTw0,PT4M30S,270.0
MKLlDnUqho4,PT2M42S,162.0
wwZ-T_WQ03A,PT13M46S,826.0
i-LCORFB860,PT3M26S,206.0
vWYyZMH_QjA,PT3M17S,197.0
VJlSq6h0LNg,PT29M21S,1761.0
JwboxqDylgg,PT3H32M8S,12728.0
1WDj0DddCcM,PT10M46S,646.0
bqgVB6Vl-lI,PT10M1S,601.0
ZhSk8mPSWCg,PT1M15S,75.0
qooQd8AA7_M,PT3M21S,201.0
9KIP-Ncp2jU,PT1M51S,111.0
i4YQRLQVixM,PT1M35S,95.0
Fyyua5JzD9w,PT52S,52.0
9Th4qTv-4jE,PT1M35S,95.0
uTH--XRCGxM,PT1M7S,67.0
ttf_EzEkxBk,PT2M52S,172.0
l7je4VAUvjA,PT52S,52.0
8-Cjsnq8kVU,PT2M10S,130.0
hpapqEeb36k,PT3M53S,233.0
cmoknv58jjE,PT14M15S,855.0
sottGW1p5os,PT11M41S,701.0
EEIP1YpFXrE,PT6M55S,415.0
pgjRX9oGF7g,PT5M33S,333.0
_BVAJ3PXZ1k,PT6M27S,387.0
8hKbIhrb1WU,PT5M55S,355.0
RTaDvKMtUeA,PT3M26S,206.0
jG1JY0rt2Os,PT3M37S,217.0
