Publishing Day,Total per day of the week,Percentage per Day of the Week
Wednesday,1096,17.268000630219003
Tuesday,1061,16.716559004253977
Thursday,1053,16.5905152040334
Friday,1046,16.480226878840398
Monday,985,15.5191429021585
Sunday,559,8.807310540412793
Saturday,547,8.618244840081928
