Publishing Day,Total per day of the week,Percentage per Day of the Week
Thursday,28,21.705426356589147
Friday,26,20.155038759689923
Tuesday,25,19.379844961240313
Wednesday,18,13.953488372093023
Sunday,15,11.627906976744185
Monday,13,10.077519379844961
Saturday,4,3.10077519379845
